id,citations_wos,citations_all,open_access,year,language
WOS:000486644800001,11,12,,2020,English
WOS:000486665900001,15,15,,2020,English
WOS:000486925600001,19,20,,2020,English
WOS:000487146500001,2,2,,2020,English
WOS:000487150300001,1,1,,2020,English
WOS:000487155900001,11,14,,2020,English
WOS:000487416800001,19,20,,2020,English
WOS:000487996300001,38,39,"Green Published, hybrid",2020,English
WOS:000488177900001,126,141,"Green Published, hybrid",2020,English
WOS:000488359000001,4,5,"Green Published, hybrid",2020,English
WOS:000488412500001,13,13,,2020,English
WOS:000488431400001,7,7,,2020,English
WOS:000488650700001,4,5,,2020,English
WOS:000488692900001,0,0,,2020,English
WOS:000488718100001,0,0,,2020,English
WOS:000488724600001,6,6,,2020,English
WOS:000488728100001,17,19,"hybrid, Green Published",2021,English
WOS:000488728200001,7,7,"Green Submitted, hybrid",2021,English
WOS:000488743400001,27,28,,2021,English
WOS:000488901000001,13,14,hybrid,2020,English
WOS:000489208900001,1,1,Green Accepted,2020,English
WOS:000489209100001,10,10,"hybrid, Green Published, Green Submitted, Green Accepted",2020,English
WOS:000489214600003,7,7,,2020,English
WOS:000489248200001,4,4,"hybrid, Green Published",2020,English
WOS:000489377400001,3,3,,2021,English
WOS:000489378000001,15,15,Green Submitted,2021,English
WOS:000489378400001,50,50,,2021,English
WOS:000489378900001,23,24,Green Submitted,2021,English
WOS:000489381500001,1,1,,2021,English
WOS:000489408700001,3,3,,2020,English
WOS:000489469800001,4,4,,2020,English
WOS:000489487800001,4,4,Green Accepted,2020,English
WOS:000489495900001,6,7,,2020,English
WOS:000489506400001,13,14,,2020,English
WOS:000489514100001,2,2,Bronze,2020,English
WOS:000489583000001,5,5,,2020,English
WOS:000489814400001,1,1,,2020,English
WOS:000489915400001,43,52,"Green Published, hybrid",2020,English
WOS:000490002300001,8,9,Green Submitted,2020,English
WOS:000490035000001,3,4,Green Submitted,2020,English
WOS:000490053600001,5,6,"Green Published, hybrid",2021,English
WOS:000490274500001,5,6,,2020,English
WOS:000490500300001,3,3,,2020,English
WOS:000490510300001,1,1,,2020,English
WOS:000490510700001,3,3,Green Submitted,2020,English
WOS:000490688200001,6,7,,2020,English
WOS:000490688400001,7,8,,2020,English
WOS:000490800600001,19,22,,2020,English
WOS:000490917300001,15,19,,2020,English
WOS:000491063400001,6,6,,2021,English
WOS:000491067300001,8,11,,2020,English
WOS:000491068600001,16,24,,2020,English
WOS:000491069600001,0,0,,2020,English
WOS:000491173300001,10,12,,2020,English
WOS:000491320700001,1,1,,2020,English
WOS:000491348800001,45,45,Bronze,2020,English
WOS:000491358200001,6,7,"hybrid, Green Published",2020,English
WOS:000491358800001,28,31,Green Published,2020,English
WOS:000491383600001,8,9,Green Accepted,2020,English
WOS:000491387500001,4,4,,2020,English
WOS:000491452500001,13,17,,2020,English
WOS:000491528900001,19,21,hybrid,2020,English
WOS:000491545600001,42,48,,2021,English
WOS:000491655800001,52,55,"Green Published, Green Submitted",2020,English
WOS:000491692600001,19,20,hybrid,2020,English
WOS:000491743900001,4,4,,2020,English
WOS:000491746300001,20,21,,2020,English
WOS:000491747300001,24,24,"Green Published, hybrid",2021,English
WOS:000491751700001,2,2,,2020,English
WOS:000492103800001,39,49,,2020,English
WOS:000492127500001,3,4,,2020,English
WOS:000492128600001,10,12,Bronze,2020,English
WOS:000492185300001,3,3,,2020,English
WOS:000492193900001,4,9,,2020,English
WOS:000492238100001,5,5,,2020,English
WOS:000492598600001,13,14,Green Published,2020,English
WOS:000492619600001,45,54,"Green Accepted, hybrid",2021,English
WOS:000492690300001,10,11,Green Accepted,2020,English
WOS:000492788500001,2,2,,2020,English
WOS:000492843900001,0,1,,2020,English
WOS:000492869300001,26,26,,2020,English
WOS:000492890300001,1,1,Green Submitted,2020,English
WOS:000492931400001,9,13,,2020,English
WOS:000493016000001,73,78,hybrid,2020,English
WOS:000493167200001,3,3,Green Submitted,2020,English
WOS:000493591000001,15,15,Green Accepted,2020,English
WOS:000493615000001,26,27,,2020,English
WOS:000493645500001,26,27,hybrid,2020,English
WOS:000493676300001,14,14,,2020,English
WOS:000493676300002,5,6,,2020,English
WOS:000493676300003,16,17,hybrid,2020,English
WOS:000493676300004,6,6,,2020,English
WOS:000494239200001,6,8,Green Submitted,2020,English
WOS:000494456000001,2,2,,2020,English
WOS:000494635100001,12,15,,2020,English
WOS:000495274700001,7,7,,2020,English
WOS:000495319200001,4,4,,2020,English
WOS:000495324800001,39,46,,2021,English
WOS:000495348700001,16,17,"hybrid, Green Published",2020,English
WOS:000495348700002,13,15,,2020,English
WOS:000495348700004,3,4,,2020,English
WOS:000495348700006,12,14,,2020,English
WOS:000495348700007,16,16,,2020,English
WOS:000495348700008,42,43,hybrid,2020,English
WOS:000495522900001,20,22,,2020,English
WOS:000495532200001,28,35,,2020,English
WOS:000495563700001,6,6,Bronze,2020,English
WOS:000495820000001,4,4,,2020,English
WOS:000495846500001,45,49,"Green Published, hybrid",2020,English
WOS:000495846500002,13,13,,2020,English
WOS:000495899600001,34,35,Green Submitted,2020,English
WOS:000495944800001,6,6,,2020,English
WOS:000495994600001,14,15,,2020,English
WOS:000496006200001,8,8,,2020,English
WOS:000496052300001,4,4,,2020,English
WOS:000496052700001,2,2,Green Accepted,2020,English
WOS:000496060000001,18,18,,2020,English
WOS:000496062500001,4,5,,2021,English
WOS:000496075500001,32,35,,2020,English
WOS:000496077000001,3,4,Bronze,2020,English
WOS:000496104600001,7,7,,2020,English
WOS:000496343500001,32,35,,2020,English
WOS:000496360000001,12,12,,2020,English
WOS:000496362200001,4,4,,2020,English
WOS:000496375700001,18,18,,2020,English
WOS:000496498800001,7,7,,2020,English
WOS:000496545500001,26,27,Green Submitted,2020,English
WOS:000496639100001,16,17,Green Accepted,2020,English
WOS:000496679600001,6,6,,2021,English
WOS:000496680600001,5,6,Green Submitted,2020,English
WOS:000496701000001,29,30,,2021,English
WOS:000496801200001,1,2,,2020,English
WOS:000496836200001,6,6,Green Submitted,2020,English
WOS:000497167500001,32,33,,2020,English
WOS:000497281100001,7,7,Green Submitted,2020,English
WOS:000497297700001,30,37,"Green Accepted, Green Submitted",2020,English
WOS:000497314700001,7,8,"hybrid, Green Published",2020,English
WOS:000497466600001,6,6,,2020,English
WOS:000497481300001,4,6,,2020,English
WOS:000497608600001,4,5,,2020,English
WOS:000497609300001,4,5,,2021,English
WOS:000497616400001,8,8,,2020,English
WOS:000497628700001,17,21,,2020,English
WOS:000497856300001,9,12,,2020,English
WOS:000497871100001,5,6,,2020,English
WOS:000497989600001,24,26,,2020,English
WOS:000497989600003,341,359,,2020,English
WOS:000497989600004,100,103,,2020,English
WOS:000497989600006,21,21,,2020,English
WOS:000497989600008,63,65,,2020,English
WOS:000497989600009,180,187,,2020,English
WOS:000497989600010,30,37,,2020,English
WOS:000497989600011,10,10,,2020,English
WOS:000497989600012,92,101,,2020,English
WOS:000497989600013,20,27,"Green Submitted, Green Accepted",2020,English
WOS:000497989600014,262,268,,2020,English
WOS:000497989600015,69,78,,2020,English
WOS:000497989600016,135,159,,2020,English
WOS:000497989600017,25,25,,2020,English
WOS:000497989600018,61,63,"Bronze, Green Published, Green Accepted",2020,English
WOS:000497989600019,81,87,Green Submitted,2020,English
WOS:000497989600020,55,57,,2020,English
WOS:000497989600021,195,207,,2020,English
WOS:000497989600022,221,236,,2020,English
WOS:000497989600023,58,58,,2020,English
WOS:000497989600024,210,234,,2020,English
WOS:000497989600025,4,4,"hybrid, Green Published",2020,English
WOS:000497989600026,28,33,,2020,English
WOS:000497989600027,58,62,,2020,English
WOS:000497989600028,50,52,,2020,English
WOS:000497989600029,27,37,,2020,English
WOS:000497989600030,57,60,,2020,English
WOS:000497989600031,59,61,,2020,English
WOS:000497989600032,19,20,Green Published,2020,English
WOS:000497989600034,108,114,,2020,English
WOS:000497989600035,69,71,,2020,English
WOS:000497989600036,80,80,,2020,English
WOS:000497989600037,10,10,,2020,English
WOS:000497989600039,63,66,,2020,English
WOS:000497989600040,128,133,,2020,English
WOS:000497989600041,22,24,,2020,English
WOS:000497989600042,77,82,,2020,English
WOS:000497989600043,64,68,,2020,English
WOS:000497989600044,27,29,,2020,English
WOS:000497989600045,79,80,,2020,English
WOS:000498118200001,13,16,Green Submitted,2020,English
WOS:000498119000001,17,19,,2020,English
WOS:000498128700001,13,13,,2021,English
WOS:000498138800001,8,9,hybrid,2020,English
WOS:000498306800001,3,3,,2021,English
WOS:000498366200001,31,36,,2020,English
WOS:000498376100001,33,34,,2020,English
WOS:000498381600001,9,9,Green Submitted,2020,English
WOS:000498456200001,14,16,,2020,English
WOS:000498597400001,16,17,Green Submitted,2020,English
WOS:000498738600001,13,15,hybrid,2020,English
WOS:000498738600002,1,1,,2020,English
WOS:000498738600003,4,4,,2020,English
WOS:000498738600004,3,4,,2020,English
WOS:000498738600005,15,20,hybrid,2020,English
WOS:000498738600006,19,20,,2020,English
WOS:000498738600007,2,4,hybrid,2020,English
WOS:000498916700001,14,14,,2020,English
WOS:000499070400001,45,49,Green Submitted,2020,English
WOS:000499511600001,11,11,"hybrid, Green Submitted, Green Published",2021,English
WOS:000499527900001,4,5,,2021,English
WOS:000499534400001,5,5,,2021,English
WOS:000499553400001,7,9,hybrid,2020,English
WOS:000499578200001,2,2,,2021,English
WOS:000499806200001,23,24,hybrid,2020,English
WOS:000500113700001,65,73,Green Submitted,2020,English
WOS:000500331100001,1,1,,2020,English
WOS:000500387400001,46,46,,2020,English
WOS:000500387400002,27,27,,2020,English
WOS:000500387400003,19,19,,2020,English
WOS:000500387400004,13,13,,2020,English
WOS:000500387400005,133,136,,2020,English
WOS:000500387400006,57,59,,2020,English
WOS:000500387400007,25,26,,2020,English
WOS:000500387400008,56,58,,2020,English
WOS:000500387400009,72,77,,2020,English
WOS:000500387400010,97,104,"Green Published, hybrid",2020,English
WOS:000500387400011,52,59,,2020,English
WOS:000500387400012,7,7,,2020,English
WOS:000500387400013,54,56,,2020,English
WOS:000500387400014,60,65,,2020,English
WOS:000500387400015,40,41,,2020,English
WOS:000500387400016,114,117,Green Accepted,2020,English
WOS:000500387400017,4,4,,2020,English
WOS:000500387400019,165,171,,2020,English
WOS:000500387400020,83,84,,2020,English
WOS:000500404600001,13,15,Green Submitted,2020,English
WOS:000500440700001,5,5,Green Accepted,2020,English
WOS:000500631500001,13,13,,2020,English
WOS:000500659300001,2,2,,2021,English
WOS:000500868100001,5,5,,2020,English
WOS:000501086100001,8,9,,2020,English
WOS:000501128500001,2,2,,2021,English
WOS:000501467000001,31,31,,2020,English
WOS:000501521900001,9,11,,2020,English
WOS:000501544500001,8,9,,2020,English
WOS:000501555100001,3,3,"Green Published, hybrid",2021,English
WOS:000501610500001,6,6,,2020,English
WOS:000501610600001,6,6,,2020,English
WOS:000501627500001,8,8,,2021,English
WOS:000501636900001,19,23,,2020,English
WOS:000501689200001,1,2,,2020,English
WOS:000501711200001,22,26,,2020,English
WOS:000501912400001,15,16,,2020,English
WOS:000501912500001,5,5,,2020,English
WOS:000501913900001,11,11,,2020,English
WOS:000501946900001,6,6,,2021,English
WOS:000501954800001,3,5,,2021,English
WOS:000501958600001,26,28,,2021,English
WOS:000501958800001,13,15,Bronze,2021,English
WOS:000501964900001,4,4,Green Accepted,2021,English
WOS:000502204200001,2,2,,2020,English
WOS:000502205400001,102,158,,2021,English
WOS:000502226000001,22,23,,2020,English
WOS:000502407400001,11,14,,2020,English
WOS:000502411000001,9,10,hybrid,2020,English
WOS:000502414000001,0,0,Green Accepted,2020,English
WOS:000502416100001,8,9,hybrid,2020,English
WOS:000502462200001,21,23,,2020,English
WOS:000502487300001,603,901,Bronze,2020,English
WOS:000502487800001,33,34,Bronze,2021,English
WOS:000502504800002,38,42,"Green Accepted, Green Submitted",2020,English
WOS:000502504800005,22,24,Green Accepted,2020,English
WOS:000502504900001,12,13,,2020,English
WOS:000502504900002,15,22,,2020,English
WOS:000502504900009,15,19,Green Submitted,2020,English
WOS:000502515600001,14,15,Green Submitted,2021,English
WOS:000502517500001,7,8,,2020,English
WOS:000502548900001,12,13,,2022,English
WOS:000502639000001,4,4,,2020,English
WOS:000502639400001,1,5,,2020,English
WOS:000502692100001,8,9,Bronze,2020,English
WOS:000502692900001,6,6,"Green Accepted, Bronze",2020,English
WOS:000503033600009,1,1,"Green Published, gold, Green Submitted",2020,English
WOS:000503253100001,34,39,Green Submitted,2020,English
WOS:000503270600001,11,11,,2020,English
WOS:000503271900001,6,6,,2020,English
WOS:000503272200001,5,5,Green Accepted,2020,English
WOS:000503275600001,4,4,,2020,English
WOS:000503276500001,4,4,Green Accepted,2020,English
WOS:000503280300001,18,21,,2020,English
WOS:000503290400001,10,10,,2020,English
WOS:000503309200001,18,18,,2020,English
WOS:000503368500001,7,7,,2020,English
WOS:000503508200001,3,3,,2020,English
WOS:000503559000001,2,2,hybrid,2020,English
WOS:000503573100001,11,12,,2020,English
WOS:000503575600001,71,86,,2021,English
WOS:000503582200001,3,3,,2020,English
WOS:000503582500001,5,6,,2020,English
WOS:000503607600001,14,16,,2020,English
WOS:000503627900001,36,37,Green Accepted,2021,English
WOS:000503717200001,1,1,,2021,English
WOS:000503858500001,3,3,,2020,English
WOS:000503877100001,14,14,Green Submitted,2020,English
WOS:000503929200001,0,0,"Green Published, hybrid",2020,English
WOS:000503947800001,4,4,,2020,English
WOS:000504005100001,14,14,,2020,English
WOS:000504005500001,8,9,hybrid,2020,English
WOS:000504079100001,2,2,,2020,English
WOS:000504088700001,4,4,,2020,English
WOS:000504088700002,4,4,,2020,English
WOS:000504088700003,0,0,,2020,English
WOS:000504140100001,35,37,,2020,English
WOS:000504181500001,12,12,,2020,English
WOS:000504345200001,40,40,,2020,English
WOS:000504346000001,15,16,,2020,English
WOS:000504410900001,0,0,,2020,English
WOS:000504455400001,22,22,hybrid,2020,English
WOS:000504541300001,25,26,,2021,English
WOS:000504544700001,26,27,"hybrid, Green Submitted, Green Published",2021,English
WOS:000504605400001,8,8,Green Accepted,2020,English
WOS:000504724900001,18,18,,2020,English
WOS:000504725000001,6,7,,2020,English
WOS:000504810100001,8,8,,2020,English
WOS:000504880400001,8,8,,2021,English
WOS:000504880600001,2,2,,2021,English
WOS:000504883000002,5,5,,2020,English
WOS:000504883000003,10,10,,2020,English
WOS:000504883000004,3,5,Green Submitted,2020,English
WOS:000504883000005,20,24,,2020,English
WOS:000504883000006,5,6,,2020,English
WOS:000504929500001,0,0,Green Accepted,2020,English
WOS:000504935100001,41,47,,2020,English
WOS:000504967500001,4,5,,2020,English
WOS:000505047100001,60,63,,2020,English
WOS:000505097700001,35,35,,2020,English
WOS:000505098600001,3,3,,2020,English
WOS:000505099800001,8,9,,2020,English
WOS:000505099900001,7,7,Green Accepted,2022,English
WOS:000505100000001,5,6,,2021,English
WOS:000505137800004,2,2,"Green Published, Green Submitted",2020,English
WOS:000505154300002,26,27,hybrid,2020,English
WOS:000505154300003,0,0,hybrid,2020,English
WOS:000505154300004,21,21,hybrid,2020,English
WOS:000505154300005,42,43,hybrid,2020,English
WOS:000505154300006,18,18,hybrid,2020,English
WOS:000505200200001,1,1,"Green Published, gold",2020,English
WOS:000505200200003,2,2,"gold, Green Published",2020,English
WOS:000505200200004,7,9,"gold, Green Published",2020,English
WOS:000505200200005,11,11,"Green Published, Green Submitted, gold",2020,English
WOS:000505200200007,17,18,"gold, Green Published",2020,English
WOS:000505200200008,8,8,"Green Published, gold",2020,English
WOS:000505200200009,3,5,"Green Published, gold",2020,English
WOS:000505200200010,2,2,"Green Published, gold",2020,English
WOS:000505200200011,0,0,"Green Published, gold",2020,English
WOS:000505200200013,14,15,"Green Published, Green Submitted, gold",2020,English
WOS:000505200200014,3,3,"Green Published, gold",2020,English
WOS:000505200200015,1,1,"gold, Green Published",2020,English
WOS:000505200200020,1,1,"Green Published, gold",2020,English
WOS:000505200200021,7,9,"Green Published, gold",2020,English
WOS:000505200200022,2,2,Green Published,2020,English
WOS:000505200200023,2,2,"Green Published, gold",2020,English
WOS:000505206200004,8,9,,2020,English
WOS:000505206200005,0,0,,2020,English
WOS:000505206200006,1,2,,2020,English
WOS:000505206200007,3,4,,2020,English
WOS:000505275600001,12,13,Green Accepted,2020,English
WOS:000505275600002,3,3,,2020,English
WOS:000505275600003,13,17,,2020,English
WOS:000505275600004,11,14,Green Submitted,2020,English
WOS:000505275600005,87,87,,2020,English
WOS:000505275600006,22,28,"hybrid, Green Accepted",2020,English
WOS:000505275600007,9,10,,2020,English
WOS:000505275600008,6,7,,2020,English
WOS:000505275600009,8,8,"Green Published, hybrid",2020,English
WOS:000505287100001,1,1,,2020,English
WOS:000505288000001,20,20,,2021,English
WOS:000505289700001,7,7,,2021,English
WOS:000505290500001,7,9,,2021,English
WOS:000505292100001,29,33,,2020,English
WOS:000505292200001,10,12,,2020,English
WOS:000505292600001,10,10,,2020,English
WOS:000505294400001,2,2,,2021,English
WOS:000505295200001,5,5,,2020,English
WOS:000505299200001,11,12,,2020,English
WOS:000505299800001,56,56,,2020,English
WOS:000505304400001,6,6,,2020,English
WOS:000505360900001,42,42,Green Submitted,2020,English
WOS:000505386100001,2,2,,2020,English
WOS:000505386100002,0,0,,2020,English
WOS:000505386100003,2,3,,2020,English
WOS:000505408500001,65,67,,2020,English
WOS:000505440900001,15,18,,2020,English
WOS:000505446600001,16,19,Green Accepted,2020,English
WOS:000505450200001,83,86,,2020,English
WOS:000505466300001,7,8,,2022,English
WOS:000505467600001,6,6,,2022,English
WOS:000505486800001,13,13,,2022,English
WOS:000505490500001,5,5,,2020,English
WOS:000505541300001,15,18,,2020,English
WOS:000505542700001,0,0,,2020,English
WOS:000505613200001,23,23,,2020,English
WOS:000505613200002,6,6,,2020,English
WOS:000505613200003,13,15,,2020,English
WOS:000505613200004,15,17,,2020,English
WOS:000505613200005,17,19,,2020,English
WOS:000505613200010,29,30,,2020,English
WOS:000505645900001,4,5,,2020,English
WOS:000505649200001,66,76,,2020,English
WOS:000505651700001,28,30,Green Submitted,2020,English
WOS:000505658900001,36,39,,2020,English
WOS:000505659200001,0,0,,2021,English
WOS:000505662900001,39,43,,2020,English
WOS:000505851000001,44,44,,2020,English
WOS:000505888700007,25,28,Green Submitted,2020,English
WOS:000505891900001,8,10,"Green Submitted, Green Accepted",2020,English
WOS:000505892000001,10,12,,2020,English
WOS:000505892100001,4,4,Green Submitted,2020,English
WOS:000505892200001,15,18,,2020,English
WOS:000505892300001,0,0,,2020,English
WOS:000505892300002,1,1,Green Accepted,2020,English
WOS:000505892400001,2,2,Green Published,2020,English
WOS:000505892500001,7,7,,2020,English
WOS:000505892600001,3,3,,2020,English
WOS:000505892700001,1,4,,2020,English
WOS:000505892700002,8,8,,2020,English
WOS:000505892700003,15,18,Green Submitted,2020,English
WOS:000505892700004,6,6,,2020,English
WOS:000505892900001,8,10,,2020,English
WOS:000505892900002,17,21,Green Accepted,2020,English
WOS:000505892900003,0,0,,2020,English
WOS:000505893100002,15,16,Green Accepted,2020,English
WOS:000505978100001,41,42,"Green Published, hybrid",2020,English
WOS:000506034900001,7,8,Green Accepted,2020,English
WOS:000506035000001,3,3,,2020,English
WOS:000506035100001,6,6,,2020,English
WOS:000506035200001,5,6,,2020,English
WOS:000506055900001,15,17,,2020,English
WOS:000506055900002,159,177,Bronze,2020,English
WOS:000506055900003,20,20,Bronze,2020,English
WOS:000506055900004,36,39,Green Accepted,2020,English
WOS:000506055900005,36,39,"Bronze, Green Submitted",2020,English
WOS:000506055900006,13,14,,2020,English
WOS:000506055900007,17,20,,2020,English
WOS:000506066200001,4,4,Green Accepted,2020,English
WOS:000506080100001,10,10,Green Published,2020,English
WOS:000506201000001,8,9,,2020,English
WOS:000506209200002,6,7,,2020,English
WOS:000506209200003,7,7,,2020,English
WOS:000506209200004,24,27,,2020,English
WOS:000506209200005,9,11,,2020,English
WOS:000506209200007,4,7,,2020,English
WOS:000506209200008,5,8,,2020,English
WOS:000506251300001,10,12,,2020,English
WOS:000506263500006,0,0,,2020,English
WOS:000506263500007,0,0,,2020,English
WOS:000506263500008,2,3,,2020,English
WOS:000506263500009,0,0,,2020,English
WOS:000506263500011,0,0,,2020,English
WOS:000506271400001,5,5,Green Accepted,2020,English
WOS:000506410100001,7,8,,2020,English
WOS:000506410200001,12,14,,2020,English
WOS:000506411500001,56,59,Bronze,2020,English
WOS:000506414300001,1,1,,2020,English
WOS:000506434300001,6,6,,2022,English
WOS:000506445000001,7,11,,2021,English
WOS:000506447100001,11,12,,2020,English
WOS:000506465300001,6,6,Green Submitted,2020,English
WOS:000506465500001,9,12,Green Submitted,2020,English
WOS:000506466200001,5,5,,2020,English
WOS:000506466900001,4,4,,2020,English
WOS:000506473000001,2,6,,2020,English
WOS:000506558500001,43,43,hybrid,2020,English
WOS:000506572200001,19,27,,2020,English
WOS:000506710800001,13,15,,2020,English
WOS:000506711000001,25,25,,2020,English
WOS:000506735800001,18,21,,2021,English
WOS:000506750800001,12,12,,2021,English
WOS:000506776300001,9,9,,2021,English
WOS:000506787200001,1,1,,2021,English
WOS:000506791600001,11,11,,2021,English
WOS:000506947600001,11,12,,2020,English
WOS:000506978600001,19,22,Green Accepted,2020,English
WOS:000507009400001,15,26,,2020,English
WOS:000507012900001,26,32,"Green Accepted, Green Submitted",2020,English
WOS:000507024500001,7,7,"Green Published, Green Submitted, hybrid",2020,English
WOS:000507035700001,18,20,,2021,English
WOS:000507043800001,1,1,,2020,English
